,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC388692,0,-1.425755233,-1.132221249,0,0,0,-1.425755233,-1.132221249,0,0,0,0,-1.395463661
LOC388780,0,-1.396762152,0,0,0,0,0,0,0,-1.374725579,0,0,0
LOC388796,-1.305138299,1.194498081,1.09411842,0,0,0,1.194498081,1.09411842,-1.440713492,-1.314868918,0,0,2.334030079
LOC388813,0,-1.582951539,0,0,0,0,-1.582951539,0,0,0,0,0,0
LOC388849,0,-1.355288324,-1.094428911,0,0,0,0,-1.094428911,0,0,0,0,-1.249215517
LOC388882,0,-1.156602001,0,0,0,0,-1.156602001,0,0,-1.34545015,0,0,-1.602457554
LOC388942,0,0,0,0,0,0,0,0,0,-1.138966575,0,0,1.207070634
LOC388946,0,-1.061365153,0,0,0,0,-1.061365153,0,0,0,0,0,-1.459834077
LOC388948,1.383944916,-1.902872526,0,0,0,0,-1.902872526,0,0,0,0,0,0
LOC389033,0,-3.211390514,0,0,0,0,0,-1.603213093,-1.542991765,-1.651915837,0,0,-2.881585051
LOC389043,0,1.092628973,0,0,0,0,1.092628973,0,0,0,0,0,0
LOC389199,0,1.09244908,0,0,0,0,0,0,0,1.123759037,0,0,1.163671974
LOC389247,0,1.145319569,0,0,0,0,1.145319569,0,0,0,0,0,0
LOC389273,0,-1.471296253,0,0,0,0,-1.471296253,0,0,-1.359227702,0,0,-2.160556978
LOC389602,-1.438595572,-1.593125302,-1.343913523,0,0,0,-1.593125302,-1.343913523,-1.833490336,-1.514493302,0,0,-2.681672509
LOC389607,1.682423638,-5.87226407,0,0,0,0,-5.87226407,0,1.79272324,1.370127564,0,0,-3.163259562
LOC389634,-1.277000126,0,0,0,0,0,0,0,0,0,0,0,0
LOC389641,0,0,-1.491188678,0,0,0,0,-1.491188678,0,1.351473555,0,0,1.55283851
LOC389676,0,-1.150672419,0,0,0,0,-1.150672419,0,0,-1.253534064,0,0,0
LOC389765,0,-1.443121413,0,0,0,0,0,0,1.473626079,1.514884143,0,0,-1.719889473
LOC389791,0,-1.958341293,0,0,0,0,-1.958341293,0,0,1.268523033,0,0,-3.980926357
LOC389831,1.293107376,1.40081546,1.495280056,0,0,0,1.40081546,1.495280056,1.9613852,1.850811124,0,0,-1.181862362
LOC389834,0,-1.736596786,0,0,0,0,-1.736596786,-1.090426458,1.192330039,1.26581542,0,0,-1.955860379
LOC389906,0,0,0,0,0,0,0,0,0,0,0,0,1.540855912
LOC390660,0,-1.243997359,0,0,0,0,-1.243997359,-1.145631222,0,-1.178716833,0,0,0
LOC390705,0,-1.812690913,0,0,0,0,0,0,0,1.205264334,0,0,-2.381345219
LOC390858,0,-1.477858322,0,0,0,0,-1.477858322,0,0,0,0,0,1.381318109
LOC390877,0,0,0,0,0,0,0,0,0,-1.19002822,0,0,0
LOC390940,0,0,0,0,0,0,0,0,0,-1.191348109,0,0,1.353766869
LOC391636,-1.492962944,-1.480548702,0,0,0,0,0,0,-1.62833864,0,0,0,-1.615421652
LOC391764,0,-1.100121874,0,0,0,0,-1.100121874,0,0,-1.112081492,0,0,-1.312949724
LOC391766,0,1.177053661,0,0,0,0,1.177053661,0,0,0,0,0,1.19715839
LOC391767,0,0,0,0,0,0,0,0,0,-1.321606523,0,0,0
